Package,LibPath,Version,Priority,Built
tcltk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
TeachingDemos,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.10,NA,3.5.0
testthat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.1,NA,3.5.0
TH.data,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-9,NA,3.5.0
tibble,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.0,NA,3.5.2
tidyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.2,NA,3.5.0
tidyselect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.5,NA,3.5.0
tidyverse,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1.9000,NA,3.5.2
timeDate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3043.102,NA,3.5.0
tinytex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9,NA,3.5.0
tm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7-6,NA,3.5.0
tmle,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0-1,NA,3.5.0
tools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
tseries,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.10-46,NA,3.5.0
TTR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.23-4,NA,3.5.0
tufte,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4,NA,3.5.0
twang,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.0
urca,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-0,NA,3.5.0
uroot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0-9,NA,3.5.0
usethis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.0,NA,3.5.0
utf8,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.4,NA,3.5.0
utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.2,base,3.5.2
vcd,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-4,NA,3.5.0
VGAM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-6,NA,3.5.0
VGAMdata,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-3,NA,3.5.0
VIM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.7.0,NA,3.5.0
viridis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
webshot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
whisker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-2,NA,3.5.0
withr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.2,NA,3.5.0
xfun,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4,NA,3.5.0
xgboost,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.71.2,NA,3.5.0
xlsx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.1,NA,3.5.0
xlsxjars,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.1,NA,3.5.0
xml2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
xopen,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
xtable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-3,NA,3.5.0
xts,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.11-2,NA,3.5.0
yaml,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2.0,NA,3.5.0
zip,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
zoo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-4,NA,3.5.0
